person_id,page_number,occupation,entry_type,occupation_norm_proposed,age,sex,family_status_norm,comments
P000673,68,,blank,,,Мужской,Хозяин,6-я Касьяновская. В Николаевском и дом не отстроен
P000683,68,,blank,,,Мужской,Хозяин,6-я Касьяновская. В Николаевске
P000688,69,,blank,,,Мужской,Хозяин,6-я Касьяновская. В Николаевском и дом не отстроенный
P000691,69,,blank,,0,Женский,Дочь,
P000692,69,,blank,,,Мужской,Хозяин,6-я Касьяновская. В Николаевском и дом не отстроенный
P000693,69,,blank,,,Мужской,Хозяин,7-я Касьяновская. В Николаевске
P000698,69,,blank,,0,Мужской,Сын,
P000699,69,,blank,,,Мужской,Хозяин,7-я Касьяновская. В Николаевске. Жена и сын
P000701,70,,blank,,38,Мужской,Хозяин,
P000702,70,,blank,,26,Женский,Сожительница,
P000703,70,,blank,,25,Женский,Сожительница,
P000704,70,,blank,,33,Мужской,Хозяин,
P000705,70,,blank,,34,Женский,Жена,
P000706,70,,blank,,56,Мужской,Жилец,
P000707,70,,blank,,25,Мужской,Хозяин,
P000708,70,,blank,,21,Женский,Жена,
P000709,70,,blank,,0,Женский,Дочь,
P000710,70,,blank,,71,Мужской,Хозяин,
P000711,70,,blank,,37,Мужской,Хозяин,
P000712,70,,blank,,45,Женский,Сожительница,
P000713,70,,blank,,45,Мужской,Хозяин,
P000714,70,,blank,,32,Женский,Сожительница,
P000715,70,,blank,,63,Мужской,Хозяин,
P000716,71,,blank,,60,Женский,Жена,
P000717,71,,blank,,52,Мужской,Жилец,
P000718,71,,blank,,30,Мужской,Работник,
P000719,71,,blank,,,Мужской,Хозяин,1-я Кирпичная. В Николаевске
P000721,71,,blank,,30,Мужской,Хозяин,В Николаевске по билету
P000722,71,,blank,,28,Женский,Сожительница,
P000723,71,,blank,,3,Мужской,Незаконнорожденный сын,165
P000724,71,,blank,,1,Женский,Незаконнорожденная дочь,166
P000725,71,,blank,,25,Женский,Жилица,
P000728,71,,blank,,32,Женский,Жена,
P000730,71,,blank,,38,Женский,Сожительница,
P000736,72,,blank,,50,Женский,Сожительница,
P000737,72,,blank,,6,Мужской,Незаконнорожденный сын,164
P000739,72,,blank,,33,Женский,Жилица,
P000741,72,,blank,,42,Мужской,Жилец,
P000743,72,,blank,,25,Мужской,Хозяин,
P000744,72,,blank,,27,Женский,Хозяйка,Справка
P000745,72,,blank,,4,Мужской,Сын,
P000746,72,,blank,,1,Мужской,Сын,
P000750,73,,blank,,29,Женский,Сожительница,
P000753,73,,blank,,37,Женский,Сожительница,
P000754,73,,blank,,35,Мужской,Жилец,
P000755,73,,blank,,29,Женский,Жена,
P000757,73,,blank,,65,Мужской,Жилец,
P000759,73,,blank,,49,Женский,Жена,
P000761,73,,blank,,30,Женский,Жена,
P000762,73,,blank,,1,Мужской,Сын,
P000764,74,,blank,,40,Мужской,Жилец,
P000766,74,,blank,,35,Женский,Сожительница,
P000767,74,,blank,,40,Мужской,Жилец,
P000769,74,,blank,,36,Женский,Жена,
P000771,74,,blank,,50,Мужской,Жилец,
P000772,74,,blank,,50,Женский,Жена,
P000774,74,,blank,,32,Женский,Сожительница,
P000775,74,,blank,,1,Женский,Незаконнорожденная дочь,163
P000777,74,,blank,,40,Женский,Жена,
P000778,74,,blank,,1,Мужской,Сын,
P000780,74,,blank,,41,Женский,Сожительница,
P000781,74,,blank,,1,Женский,Незаконнорожденная дочь,162
P000785,75,,blank,,45,Женский,Сожительница,
P000789,75,,blank,,23,Женский,Сожительница,
P000790,75,,blank,,0,Мужской,Незаконнорожденный сын,2 недели; 161
P000791,75,,blank,,32,Мужской,Жилец,
P000792,75,,blank,,30,Женский,Жена,
P000793,75,,blank,,0,Мужской,Сын,
P000795,75,,blank,,35,Женский,Жена,
P000796,75,,blank,,2,Мужской,Сын,
P000797,75,,blank,,2,Мужской,Сын,
P000798,76,,blank,,0,Женский,Дочь,
P000801,76,,blank,,35,Женский,Жена,
P000802,76,,blank,,30,Мужской,Жилец,
P000803,76,,blank,,26,Женский,Жена,
P000804,76,,blank,,0,Мужской,Сын,
P000805,76,,blank,,34,Женский,Хозяйка,
P000806,76,,blank,,2,Женский,Незаконнорожденная дочь,189
P000807,76,,blank,,1,Мужской,Незаконнорожденный сын,168
P000808,76,,blank,,40,Мужской,Жилец,
P000809,76,,blank,,38,Женский,Жена,
P000812,76,,blank,,30,Женский,Сожительница,
P000814,77,,blank,,45,Женский,Жена,
P000817,77,,blank,,30,Мужской,Хозяин,В Николаевске по билету
P000820,77,,blank,,,Мужской,Хозяин,
P000821,77,,blank,,,Женский,Жена,
P000822,77,,blank,,6,Женский,Приемная дочь,
P000824,77,,blank,,23,Женский,Жена,Дочь крестьянина из ссыльных
P000825,77,,blank,,51,Мужской,Хозяин,
P000826,77,,blank,,48,Женский,Жена,
