person_id,source_position_id,page_number,field,before,after
P006099,2-27-176-0337,401,comments,10 месяцев,
P006104,2-27-177-0342,402,age_months,,10
P006104,2-27-177-0342,402,comments,10 месяцев,
P006109,2-27-179-0347,402,age_months,,3
P006109,2-27-179-0347,402,comments,3 месяца,
P006126,2-27-000-0364,403,age_months,,5
P006126,2-27-000-0364,403,comments,5 месяцев,
P006179,3-29-006-0015,415,age_months,,17
P006179,3-29-006-0015,415,comments,1 год 5 месяцев; 29,29
P006201,3-29-017-0037,417,age_months,,21
P006201,3-29-017-0037,417,comments,1 год 9 месяцев,
P006202,3-29-017-0038,417,age_months,,7
P006202,3-29-017-0038,417,comments,7 месяцев,
P006221,3-29-023-0057,418,age_months,,8
P006221,3-29-023-0057,418,comments,8 месяцев; 26,26
P006249,3-29-036-0085,419,age_months,,7
P006249,3-29-036-0085,419,comments,7 месяцев,
P006264,3-29-040-0100,420,age_months,,6
P006264,3-29-040-0100,420,comments,6 месяцев,
P006270,3-29-041-0106,421,age_months,,9
P006270,3-29-041-0106,421,comments,9 месяцев; 21,21
P006287,3-29-046-0123,422,age_months,,0
P006306,3-29-053-0142,423,age_months,,13
P006306,3-29-053-0142,423,comments,1 год 1 месяц,
P006318,3-30-003-0006,424,age_months,,20
P006318,3-30-003-0006,424,comments,1 год 8 месяцев; 126,126
P006364,3-30-034-0052,426,age_months,,8
P006364,3-30-034-0052,426,comments,8 месяцев,
P006377,3-30-045-0065,427,age_months,,18
P006377,3-30-045-0065,427,comments,1 год 6 месяцев; 123,123
P006385,3-31-003-0006,427,age_months,,1
P006385,3-31-003-0006,427,comments,1 месяц; 91,91
P006391,3-32-003-0006,428,age_months,,10
P006391,3-32-003-0006,428,comments,10 месяцев; 89,89
P006409,3-33-010-0014,429,age_months,,10
P006409,3-33-010-0014,429,comments,10 месяцев,
P006412,3-33-011-0017,429,age_months,,5
P006412,3-33-011-0017,429,comments,5 месяцев,
P006413,3-33-011-0018,429,age_months,,17
P006413,3-33-011-0018,429,comments,1 год 5 месяцев,
P006419,3-33-013-0024,429,age_months,,4
P006419,3-33-013-0024,429,comments,4 месяца,
P006433,3-34-004-0008,430,age_months,,10
P006433,3-34-004-0008,430,comments,10 месяцев; 51,51
P006444,3-34-009-0019,431,age_months,,14
P006444,3-34-009-0019,431,comments,1 год 2 месяца; 48,48
P006450,3-34-012-0025,431,age_months,,18
P006450,3-34-012-0025,431,comments,1 год 6 месяцев; 46,46
P006453,3-34-013-0028,431,age_months,,13
P006453,3-34-013-0028,431,comments,1 год 1 месяц; 45,45
P006480,3-34-024-0055,433,age_months,,8
P006480,3-34-024-0055,433,comments,8 месяцев; 39,39
P006483,3-34-025-0058,433,age_months,,23
P006483,3-34-025-0058,433,comments,1 год 11 месяцев; 35,35
P006484,3-34-025-0059,433,age_months,,9
P006484,3-34-025-0059,433,comments,9 месяцев; 34,34
P006494,3-34-026-0069,434,age_months,,1
P006494,3-34-026-0069,434,comments,1 месяц,
P006500,3-35-002-0006,434,age_months,,5
P006500,3-35-002-0006,434,comments,5 месяцев; 122,122
P006513,3-35-011-0019,435,age_months,,15
P006513,3-35-011-0019,435,comments,1 год 3 месяца; 120,120
P006520,3-35-015-0026,435,age_months,,7
P006520,3-35-015-0026,435,comments,7 месяцев; 119,119
P006577,3-37-002-0006,438,age_months,,11
P006577,3-37-002-0006,438,comments,11 месяцев,
P006586,3-37-006-0015,439,age_months,,15
