person_id,source_position_id,page_number,comments_before,comments_after,reason
P004984,2-24-262-0948,338,1014,,pure_numeric_comment
P004985,2-24-263-0949,338,1015,,pure_numeric_comment
P004986,2-24-263-0950,338,1016,,pure_numeric_comment
P004987,2-24-263-0951,339,1017,,pure_numeric_comment
P004988,2-24-264-0952,339,1018,,pure_numeric_comment
P004989,2-24-264-0953,339,1019,,pure_numeric_comment
P004990,2-24-265-0954,339,1020,,pure_numeric_comment
P004991,2-24-265-0955,339,1021,,pure_numeric_comment
P004992,2-24-265-0956,339,1022,,pure_numeric_comment
P004993,2-24-265-0957,339,1023,,pure_numeric_comment
P004994,2-24-266-0958,339,1024,,pure_numeric_comment
P004995,2-24-266-0959,339,1025,,pure_numeric_comment
P004996,2-24-266-0960,339,1026,,pure_numeric_comment
P004997,2-24-267-0961,339,1027,,pure_numeric_comment
P004998,2-24-267-0962,339,1028,,pure_numeric_comment
P004999,2-24-267-0963,339,1029,,pure_numeric_comment
P005000,2-24-267-0964,339,1030,,pure_numeric_comment
P005001,2-24-268-0965,339,1031,,pure_numeric_comment
P005002,2-24-268-0966,339,1032,,pure_numeric_comment
P005003,2-24-269-0967,339,1033,,pure_numeric_comment
P005004,2-24-270-0968,339,1034,,pure_numeric_comment
P005005,2-24-270-0969,340,1035,,pure_numeric_comment
P005006,2-24-271-0970,340,1036,,pure_numeric_comment
P005007,2-24-271-0971,340,1037,,pure_numeric_comment
P005008,2-24-272-0972,340,1038,,pure_numeric_comment
P005009,2-24-272-0973,340,1039,,pure_numeric_comment
P005010,2-24-273-0974,340,1040,,pure_numeric_comment
P005011,2-24-273-0975,340,1041,,pure_numeric_comment
P005012,2-24-274-0976,340,1042,,pure_numeric_comment
P005013,2-24-274-0977,340,1043,,pure_numeric_comment
P005014,2-24-274-0978,340,1045,,pure_numeric_comment
P005015,2-24-274-0979,340,1046,,pure_numeric_comment
P005016,2-24-275-0980,340,1047,,pure_numeric_comment
P005017,2-24-275-0981,340,1048,,pure_numeric_comment
P005018,2-24-276-0982,340,1052,,pure_numeric_comment
P005019,2-24-276-0983,340,1053,,pure_numeric_comment
P005022,2-24-277-0986,340,1056,,pure_numeric_comment
P005023,2-24-277-0987,340,1053,,pure_numeric_comment
P005024,2-24-277-0988,341,1058,,pure_numeric_comment
P005025,2-24-277-0989,341,1059,,pure_numeric_comment
P005026,2-24-277-0990,341,1060,,pure_numeric_comment
P005027,2-24-277-0991,341,1061,,pure_numeric_comment
