family_status,record_count,family_status_norm_proposed,review_status,proposal_basis,owner_decision,owner_family_status_norm,reviewer_notes
Сестра жены,1,Сестра,owner_approved,Explicit Сестра wording.,approve,Сестра,
Служанка,1,Прислуга,owner_approved,Explicit Прислуга wording.,approve,Служанка,
Сожитель матери,1,Сожитель,owner_approved,Explicit Сожитель wording.,approve,Сожитель,
Сожитель хозяйки. Сожитель,1,Сожитель,owner_approved,Explicit Сожитель wording.,approve,Сожитель,
Сожительница Афонина,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница Безпалова,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница Волошина,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница Ефимова,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница Зайцева,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница Запорожца,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница Звонкова,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница Знайдовского,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница Исакова,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница Каширина,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница Каштыкевича,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница Кондратьева,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница Коновалова,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница Корнеева Сожительница жильца,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница Ксенофонтова,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница Лангера,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница Лочь,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
