person_id,source_position_id,page_number,district,settlement,allowance_status,arrival_year,age,legal_status_norm,family_status_norm,marriage_status_norm,occupation_norm,comments,notes_raw
P002281,1-08-006-0024,167,Александровский,Арково I,TRUE,,2,Сын поселенца,Сын,,,,РГБ № 5635
P002285,1-08-007-0028,167,Александровский,Арково I,TRUE,,5,Сын поселенца,Незаконнорожденный сын,,,427,РГБ № 5408
P002292,1-08-010-0035,168,Александровский,Арково I,TRUE,,1,Сын поселенца,Сын,,,,РГБ № 4804
P002296,1-08-011-0039,168,Александровский,Арково I,TRUE,,5,Сын поселки,Незаконнорожденный сын,,,429,РГБ № 5409
P002301,1-08-012-0044,168,Александровский,Арково I,TRUE,,3,Сын поселенца,Сын,,,,РГБ № 4553
P002311,1-08-016-0054,169,Александровский,Арково I,TRUE,,4,Сын поселенца,Сын,,,,РГБ № 5332
P002351,1-08-025-0094,172,Александровский,Арково I,TRUE,,3,Дочь поселенца,Внучка,,,,РГБ № 5287
P002382,1-09-035-0021,174,Александровский,Арково II,TRUE,,5,Дочь поселенца,Дочь,,,,РГБ № 4290
P002383,1-09-035-0022,174,Александровский,Арково II,TRUE,,2,Сын поселенца,Сын,,,,РГБ № 5627
P002384,1-09-035-0023,174,Александровский,Арково II,TRUE,,0,Дочь поселенца,Дочь,,,,РГБ № 4632
P002387,1-09-036-0026,175,Александровский,Арково II,TRUE,,5,Дочь поселенца,Дочь,,,,РГБ № 4291
P002388,1-09-036-0027,175,Александровский,Арково II,TRUE,,1,Дочь поселенца,Дочь,,,,РГБ № 5578
P002391,1-09-037-0030,175,Александровский,Арково II,TRUE,,6,Сын ссыльнокаторжного,Сын,,,В Николаевске,РГБ № 3952
P002397,1-09-039-0036,175,Александровский,Арково II,TRUE,,6,Сын поселенца,Сын,,,,РГБ № 4355
P002398,1-09-039-0037,175,Александровский,Арково II,TRUE,,4,Сын поселенца,Сын,,,,РГБ № 5326
P002410,1-09-042-0049,176,Александровский,Арково II,TRUE,,5,Сын ссыльнокаторжного,Сын,,,,РГБ № 5434
P002411,1-09-042-0050,176,Александровский,Арково II,TRUE,,1,Сын ссыльнокаторжного,Сын,,,,РГБ № 4800
P002419,1-09-045-0058,176,Александровский,Арково II,TRUE,,3,Дочь поселенца,Дочь,,,,РГБ № 5285
P002428,1-09-047-0067,177,Александровский,Арково II,TRUE,,3,Дочь поселенца,Дочь,,,,РГБ № 5283
P002435,1-09-050-0074,177,Александровский,Арково II,TRUE,,5,Сын поселенца,Сын,,,,РГБ № 5436
P002436,1-09-050-0075,177,Александровский,Арково II,TRUE,,3,Сын поселенца,Сын,,,,РГБ № 4552
P002443,1-09-051-0082,178,Александровский,Арково II,TRUE,,4,Дочь ссыльнокаторжного,Незаконнорожденная дочь,,,386,РГБ № 5396
P002464,1-11-055-0006,179,Александровский,Арково III,TRUE,,4,Дочь ссыльнокаторжного,Дочь,,,,РГБ № 4019
P002468,1-11-057-0010,180,Александровский,Арково III,TRUE,,6,Сын ссыльнокаторжного,Сын,,,,РГБ № 4357
P002469,1-11-057-0011,180,Александровский,Арково III,TRUE,,4,Сын ссыльнокаторжного,Сын,,,,РГБ № 5335
P002473,1-11-058-0015,180,Александровский,Арково III,TRUE,,4,Сын поселенца,Сын,,,,РГБ № 5334
P002485,1-11-061-0027,181,Александровский,Арково III,TRUE,,5,Дочь поселенца,Дочь,,,,РГБ № 4293
P002489,1-11-062-0031,181,Александровский,Арково III,TRUE,,6,Дочь поселенца,Незаконнорожденная дочь,,,6,РГБ № 4332
P002490,1-11-062-0032,181,Александровский,Арково III,TRUE,,2,Дочь поселенца,Незаконнорожденная дочь,,,7,РГБ № 5736
P002507,1-12-005-0014,182,Александровский,Мгачи,TRUE,,42,Ссыльнокаторжный,Хозяин,,,,РГБ № 6215
P002508,1-12-005-0015,182,Александровский,Мгачи,TRUE,,31,Ссыльнокаторжная,Сожительница,,,,РГБ № 6216
P002516,1-12-009-0023,182,Александровский,Мгачи,TRUE,,37,Ссыльнокаторжная,Сожительница,,,,РГБ № 6223
P002533,1-13-017-0005,183,Александровский,Танги,TRUE,,38,Ссыльнокаторжный,Хозяин,Вдов,Рыбак,,РГБ № 6238
P002536,1-13-018-0008,183,Александровский,Танги,TRUE,,,Ссыльнокаторжный,Хозяин,Женат на родине,,,РГБ № 6240
P002541,1-13-019-0013,183,Александровский,Танги,TRUE,,,Ссыльнокаторжный,Хозяин,,Рыбак; Каюр,,РГБ № 6242
P002545,1-14-021-0002,184,Александровский,Хоэ,TRUE,,38,Ссыльнокаторжная,Жена,Женат на Сахалине,,,РГБ № 6246
P002548,1-14-022-0005,184,Александровский,Хоэ,TRUE,,47,Ссыльнокаторжный,Хозяин,Женат на родине,Охотник,,РГБ № 6247
P002552,1-14-023-0009,184,Александровский,Хоэ,TRUE,,28,Ссыльнокаторжная,Сожительница,,,,РГБ № 6250
P002556,1-14-025-0013,184,Александровский,Хоэ,TRUE,,,Ссыльнокаторжная,Сожительница,,,,РГБ № 6254
